Hawthorne,LeShonda,SR,2
Johnson,Angelo,SR,1
Williams,Megan,DR,1
Brown,Johanna,SU,6
Jones,Collette,DR,7
Garcia,Alicia,SR,8
Miller,Ronald,SU,3
Davis,Brian,DR,4
Rodriguez,Luis,SU,4
Martinez,Felipe,DR,5
Hernandez,Keesha,DR,1
Lopez,Ellen,SU,3
Gonzalez,Lillie,SR,4
Wilson,Rolando,DR,5
Anderson,Valerie,DR,1
Tomas,Armando,SR,1
Cho,Emma,SR,5
Moore,James,SR,2
White,Danielle,SU,7
Harris,Kenneth,DR,5
Sanchez,Monica,SU,7
Clark,Anita,DR,1
Ramirez,Wendy,DR,1
Lewis,George,SU,1
Panuchek,Gloria,SU,8
Walker,Rhonda,DR,5
Young,Mohammed,SR,2
Allen,April,SR,4
Martinez,Carrie,SR,1
Collins,Juliette,SR,1
